id,timestamp,event_type,time_left,block_num
102,1613090373.245699,affect,8.200419400003739,0
102,1613090511.9180665,reading-causalclaims,21.54693209999823,0
102,1613090519.126253,mind_wandering,4.812622099998407,0
102,1613090528.9099066,mult-choice,12.257227100009914,0
102,1613090539.1975975,mult-choice,11.73977400000149,0
102,1613090543.566211,mult-choice,17.657266800000798,0
102,1613090576.8858283,affect,5.067385399990599,1
102,1613090746.9098587,affect,2.1299075999995694,1
102,1613090901.0508964,reading-hypotheses,-0.0015102999896043912,1
102,1613090907.4220464,mind_wandering,5.655356100003701,1
102,1613090919.5254495,mult-choice,9.94082360000175,1
102,1613090926.8371835,mult-choice,14.721668400001363,1
102,1613090932.3019726,mult-choice,16.56865299999481,1
